feature,frekuensi,sentiment
absurd,2,positive
absurd collection,1,positive
absurd finale,1,negative
absurd finally,1,positive
absurd lengths,1,negative
absurd plot,1,negative
absurdist,3,negative
absurdist observations,1,negative
absurdist spider,1,negative
absurdist wit,1,negative
absurdities,2,negative
absurdities,2,positive
absurdities clichés,1,negative
absurdities crudities,1,positive
absurdities inconsistencies,1,positive
absurdities tantamount,1,negative
absurdity,4,negative
absurdity,2,positive
absurdity ganeshis,1,negative
absurdity modern,1,positive
absurdity premise,1,negative
absurdity situation,1,positive
absurdly,2,negative
absurdly inappropriate,1,negative
absurdly simplistic,1,negative
abundant,1,negative
abundant,1,positive
abundant humanism,1,positive
abundant supply,1,negative
abundantly,1,positive
abundantly clear,1,positive
abuse,1,negative
abuse,3,positive
abuse film,1,positive
abuse infidelity,1,positive
abused,1,positive
abused inner,1,positive
abysmally,1,negative
abysmally pathetic,1,negative
abyss,2,negative
abyss clichés,1,negative
abyss thatis,1,negative
academic,1,positive
academic skullduggery,1,positive
academy,2,negative
academy,2,positive
academy award,1,negative
academy awards,1,positive
academy flicks,1,positive
academy people,1,negative
accent,4,negative
accent think,1,negative
accent uma,1,negative
accents,4,negative
accents,1,positive
accents action,1,negative
accents good,1,positive
accents performing,1,negative
accents worst,1,negative
accentuating,1,positive
accentuating rather,1,positive
accept,4,positive
accept another,1,positive
accept characters,1,positive
accept life,1,positive
accept trials,1,positive
acceptable,3,negative
acceptable,1,positive
acceptable occasionally,1,positive
acceptable on,1,negative
acceptable teen,1,negative
acceptable way,1,negative
acceptance,1,negative
acceptance new,1,negative
accepting,2,negative
accepting,1,positive
accepting right,1,negative
accepting role,1,positive
accepting year,1,negative
accepts,2,positive
accepts nasty,1,positive
accepts news,1,positive
access,3,positive
access ballot,1,positive
access families,1,positive
access massoud,1,positive
accessibility,1,negative
accessible,2,negative
accessible,6,positive
accessible almost,1,positive
accessible chosen,1,negative
accessible haunting,1,positive
accessible introduction,1,positive
accessible non,1,positive
accessible people,1,positive
accessible screed,1,negative
accessible stories,1,positive
accident,1,negative
accident,1,positive
accident prone,1,positive
accidental,1,negative
accidental,1,positive
accidental spy,1,positive
acclaim,1,positive
acclaim every,1,positive
acclaimed,1,positive
acclaimed screen,1,positive
accommodate,1,positive
accommodate fit,1,positive
accomodates,1,positive
accomodates practical,1,positive
accompanied,1,negative
accompanied sketchiest,1,negative
accompanies,1,positive
accompanies human,1,positive
accompanying,1,negative
accompanying stunt,1,negative
accomplish,2,positive
accomplish few,1,positive
accomplished,1,negative
accomplished,7,positive
accomplished actress,1,positive
accomplished oscar,1,positive
accomplished richly,1,positive
accomplished slice,1,positive
accomplished work,1,positive
accomplishes,2,positive
accomplishes chilling,1,positive
accomplishes much,1,positive
accomplishment,1,positive
accomplishment veracity,1,positive
accomplishments,1,positive
accomplishments seem,1,positive
according,1,negative
according,2,positive
according press,1,negative
according script,1,positive
according wendigo,1,positive
account,5,negative
account,2,positive
account eisensteinis,1,negative
account historical,1,negative
account lifestyle,1,positive
account psychological,1,positive
account puzzling,1,negative
account seinfeld,1,negative
account work,1,negative
accountant,1,positive
accumulate,1,negative
accumulate like,1,negative
accumulated,1,negative
accumulated enjoyment,1,negative
accumulates,1,positive
accumulates more,1,positive
accuracy,1,negative
accuracy,1,positive
accuracy much,1,negative
accuracy observation,1,positive
accurate,1,negative
accurate,2,positive
accurate anything,1,positive
accurate depiction,1,negative
accurate depiction,1,positive
accurately,2,negative
accurately,2,positive
accurately chabrolian,1,positive
accurately moving,1,negative
accurately reflects,1,positive
accurately titled,1,negative
accuse,1,negative
accuse making,1,negative
accused,1,positive
accused bit,1,positive
ace,1,negative
ace,1,positive
ace japanimator,1,positive
ace ventura,1,negative
acerbic,1,negative
acerbic repartee,1,negative
ache,3,positive
ache confusing,1,positive
ache mortal,1,positive
ache sadness,1,positive
achieve,1,negative
achieve,1,positive
achieve callow,1,negative
achieve shock,1,positive
achieved,1,negative
achieved lottery,1,negative
achievement,3,negative
achievement,6,positive
achievement director,1,positive
achievement epic,1,positive
achievement extends,1,positive
achievement not_match,1,negative
achievement practically,1,negative
achievement set,1,negative
achievement spite,1,positive
achievements,2,positive
achievements complexities,1,positive
achievements other,1,positive
achieves,6,negative
achieves,3,positive
achieves despite,1,positive
achieves emotional,1,positive
achieves level,1,positive
achieves main,1,negative
achieves near,2,negative
achieves pushed,1,negative
achieves some,1,negative
achieves ultimate,1,negative
achieving,2,positive
achieving modest,1,positive
achieving some,1,positive
aching,1,positive
aching sadness,1,positive
achingly,2,negative
achingly,4,positive
achingly enthralling,1,negative
achingly honest,1,positive
achingly human,1,positive
achingly real,1,positive
achingly sad,1,positive
achingly unfunny,1,negative
achival,1,positive
achival film,1,positive
achronological,1,positive
achronological vignettes,1,positive
acid,1,negative
acidic,1,negative
acidic all,1,negative
acidity,1,positive
acidity prevent,1,positive
ackerman,1,positive
ackerman create,1,positive
acknowledges,2,positive
acknowledges celebrates,1,positive
acknowledges upfront,1,positive
acknowledging,1,positive
acknowledging places,1,positive
acolytes,1,positive
acolytes triumph,1,positive
acquire,1,positive
acquire fast,1,positive
acquires,1,positive
acquires undeniable,1,positive
acres,1,negative
acres haute,1,negative
across,8,negative
across,10,positive
across americais,1,positive
across board,1,positive
across borders,1,positive
across country,1,positive
across darkly,1,positive
across days,1,negative
across fairly,1,negative
across immense,1,positive
across indulgent,1,negative
across lame,1,negative
across pat,1,positive
across racial,1,positive
across relic,1,negative
across shallow,2,negative
across stick,1,negative
across time,1,positive
across walls,1,positive
act,8,negative
act,10,positive
act abroad,1,positive
act absolutely,1,positive
act adequately,1,positive
act consuming,1,positive
act gets,1,negative
act makes,1,positive
act miscalculation,1,negative
act narrator,1,positive
act not_overtly,1,negative
act other,1,negative
act reel,1,positive
act scrooge,1,negative
act spiritual,1,positive
act still,1,negative
act still,1,positive
act villainess,1,negative
act weird,1,negative
acted,5,negative
acted,18,positive
acted admittedly,1,positive
acted british,1,positive
acted conjures,1,negative
acted diane,1,positive
acted directed,1,positive
acted emotionally,1,positive
acted far,1,positive
acted four,1,positive
acted meditation,1,positive
acted offbeat,1,positive
acted out,1,positive
acted picture,1,negative
acted quietly,1,positive
acted wears,1,negative
acted well,1,positive
acted yellow,1,positive
acting,38,negative
acting,33,positive
acting amateurish,1,negative
acting ambition,1,negative
acting bond,1,positive
acting borders,1,positive
acting breed,1,positive
acting chops,1,positive
acting circuit,1,negative
acting clinic,2,positive
acting could,1,negative
acting crackle,1,positive
acting craft,1,negative
acting debut,1,positive
acting dialogue,1,positive
acting direction,1,negative
acting direction,1,positive
acting distorts,1,negative
acting dull,1,negative
acting dullest,1,negative
acting elevates,1,positive
acting enough,1,negative
acting ensemble,1,negative
acting exercise,1,negative
acting exquisite,1,positive
acting fairly,1,negative
acting fine,1,negative
acting general,1,negative
acting good,1,positive
acting heart,1,positive
acting heralds,1,positive
acting hilarious,1,positive
acting honesty,1,positive
acting horribly,1,positive
acting inventive,1,positive
acting just,1,negative
acting lessons,1,negative
acting like,2,negative
acting look,1,positive
acting moments,1,positive
acting more,1,negative
acting most,1,positive
acting ms,1,negative
acting much,1,negative
acting neat,1,positive
acting no,1,negative
acting on,1,positive
acting pauline,1,positive
acting poorly,1,negative
acting ranges,1,negative
acting robotically,1,negative
acting script,1,negative
acting signs,1,negative
acting styles,1,positive
acting talents,1,negative
acting third,1,negative
acting tone,1,positive
acting transfigures,1,negative
acting trifecta,1,negative
acting ultimately,1,negative
acting unadorned,1,positive
acting workshop,1,negative
action,77,negative
action,45,positive
action adventure,1,negative
action adventure,1,positive
action aesthetic,1,negative
action all,1,negative
action almost,1,negative
action cartoon,2,positive
action cheese,1,positive
action cinema,1,positive
action cliches,1,negative
action clichés,1,negative
action comedies,1,negative
action comedy,5,negative
action comedy,1,positive
action confined,1,negative
action conventions,1,negative
action dazzling,1,positive
action emotions,1,negative
action even,1,negative
action fans,1,negative
action fest,1,positive
action film,3,negative
action film,3,positive
action films,1,negative
action films,3,positive
action flick,5,negative
action flick,1,positive
action flicks,1,negative
action flicks,1,positive
action good,1,positive
action gripping,1,negative
action hero,3,negative
action hero,1,positive
action hybrid,1,negative
action icon,1,negative
action idiosyncratic,1,positive
action jokes,1,negative
action land,1,negative
action laudable,1,positive
action looks,1,negative
action man,1,negative
action mechanical,1,negative
action memory,1,negative
action more,1,positive
action movie,7,negative
action movie,3,positive
action not_effective,1,negative
action packed,1,negative
action packed,2,positive
action pic,1,positive
action pieces,1,negative
action powers,1,positive
action put,1,positive
action quickly,1,negative
action same,1,positive
action satisfy,1,positive
action scenes,4,negative
action scenes,1,positive
action screenwriters,1,positive
action script,1,positive
action sequence,2,negative
action sequences,6,negative
action sequences,4,positive
action set,1,negative
action special,1,positive
action speeds,1,negative
action stilted,1,negative
action strongly,1,negative
action stunts,1,negative
action suspense,1,positive
action takes,1,negative
action thriller,2,negative
action thriller,2,positive
action transporter,1,negative
action ultimate,1,negative
action unusually,1,negative
action xx,1,positive
actioner,1,negative
actioner imbecilic,1,negative
actioners,1,negative
actioners mtv,1,negative
actions,1,negative
actions,3,positive
actions revelations,1,positive
actions supposed,1,negative
activate,1,negative
activate girlish,1,negative
activism,1,negative
activities,1,negative
activities two,1,negative
actor,10,negative
actor,13,positive
actor barry,1,positive
actor crispin,1,negative
actor director,1,negative
actor director,1,positive
actor ian,1,positive
actor incapable,1,positive
actor lead,1,negative
actor like,1,positive
actor michel,1,positive
actor not_appear,1,positive
actor phones,1,negative
actor raymond,1,positive
actor relaxed,1,positive
actor standup,1,positive
actor succumb,1,negative
actor talent,1,negative
actor uncharismatically,1,negative
actor working,1,positive
actor workshops,1,negative
actor would,1,negative
actoris,2,negative
actoris,2,positive
actoris exercise,1,negative
actoris movie,1,positive
actoris offbeat,1,negative
actoris showcase,1,positive
actorish,1,negative
actorish notations,1,negative
actorliness,1,negative
actorly,1,positive
actorly existential,1,positive
actors,26,negative
actors,40,positive
actors all,1,positive
actors appear,1,positive
actors bad,1,negative
actors bring,1,positive
actors cast,1,negative
actors daniel,1,positive
actors dawson,1,negative
actors even,1,negative
actors everything,1,negative
actors fantastic,1,positive
actors film,1,negative
actors flailing,1,negative
actors generate,1,negative
actors given,1,negative
actors good,1,positive
actors hamming,1,positive
actors help,1,positive
actors humanly,1,positive
actors improvise,1,negative
actors improvised,1,positive
actors involved,1,negative
actors involved,1,positive
actors kind,1,positive
actors lil,1,negative
actors lot,1,positive
actors make,1,positive
actors morgan,1,negative
actors most,1,negative
actors movie,1,positive
actors must,1,negative
actors must,1,positive
actors not_experienced,1,negative
actors not_seems,1,positive
actors note,1,positive
actors particularly,1,positive
actors perfect,1,positive
actors performances,1,negative
actors pick,1,positive
actors play,1,positive
actors quite,1,positive
actors radar,1,positive
actors reaching,1,negative
actors seriously,1,positive
actors served,1,negative
actors share,1,negative
actors simply,1,positive
actors spout,1,positive
actors striking,1,positive
actors throw,1,negative
actors try,1,negative
actors turn,1,positive
actors uses,1,positive
actors well,1,negative
actors well,1,positive
actors workshop,1,negative
actors worth,1,positive
actory,1,negative
actory concoctions,1,negative
actress,8,negative
actress,9,positive
actress andie,1,negative
actress becomes,1,positive
actress big,1,positive
actress even,2,negative
actress gaï,1,positive
actress inventive,1,positive
actress madonna,1,positive
actress moments,1,positive
actress producer,1,negative
actress role,1,negative
actress trying,1,negative
actress whose,2,positive
actress works,1,positive
actresses,4,negative
actresses,5,positive
actresses bring,1,positive
actresses find,1,positive
actresses lead,1,negative
actresses make,1,positive
actresses nonetheless,1,negative
actresses nor,1,negative
actresses one,1,negative
actresses simply,1,positive
actresses working,1,positive
acts,3,negative
acts,5,positive
acts affection,1,positive
acts committed,1,positive
acts goofy,1,negative
acts kindness,1,positive
acts light,1,positive
acts like,1,negative
acts not_amount,1,negative
actual,1,negative
actual,2,positive
actual material,1,negative
actual vietnam,1,positive
actual work,1,positive
actually,21,negative
actually,21,positive
actually amusing,1,negative
actually bothered,1,positive
actually brain,1,positive
actually buy,1,negative
actually clicks,1,negative
actually compelling,1,positive
actually dying,1,negative
actually fascinating,1,negative
actually feel,1,positive
actually finding,1,negative
actually funny,1,negative
actually funny,1,positive
actually happened,1,negative
actually hard,1,negative
actually hit,1,negative
actually hurts,1,negative
actually improves,1,positive
actually like,1,positive
actually looks,1,positive
actually make,1,negative
actually makes,1,positive
actually manages,1,positive
actually means,1,positive
actually movie,1,positive
actually one,1,positive
actually produced,1,positive
actually pulling,1,negative
actually quite,1,negative
actually quite,1,positive
actually releasing,1,negative
actually seem,1,positive
actually something,1,positive
actually sort,1,positive
actually spent,1,positive
actually suit,1,negative
actually takes,1,negative
actually tell,1,negative
actually thrilled,1,negative
actually want,1,positive
actually watchable,1,positive
actually watching,1,negative
actuary,1,positive
acumen,1,positive
acute,2,positive
acute expressiveness,1,positive
acute writing,1,positive
ad,2,negative
ad suffered,1,negative
adage,1,negative
adage,2,positive
adage careful,1,positive
adage good,1,negative
adage women,1,positive
adam,8,negative
adam,1,positive
adam rifkin,1,negative
adam sandler,1,negative
adam sandler,1,positive
adam sandleris,5,negative
adam watstein,1,negative
adams,3,negative
adams,2,positive
adams contributes,1,positive
adams four,1,positive
adams just,1,negative
adams quietly,1,negative
adams worldis,1,negative
adaptation,6,negative
adaptation,13,positive
adaptation akin,1,negative
adaptation bardis,1,positive
adaptation book,1,positive
adaptation cherry,1,negative
adaptation classic,1,negative
adaptation could,1,negative
adaptation enjoyable,1,positive
adaptation entertains,1,positive
adaptation evans,1,positive
adaptation intricately,1,positive
adaptation jacques,1,positive
adaptation just,1,positive
adaptation made,1,positive
adaptation mary,1,positive
adaptation oscar,1,negative
adaptation play,1,negative
adaptation simply,1,positive
adaptation three,1,positive
adaptation writer,1,positive
adaptationis,1,positive
adaptationis success,1,positive
adaptations,2,positive
adaptations work,1,positive
adapted,2,positive
adapted david,1,positive
adapted television,1,positive
add,5,negative
add,5,positive
add beyond,1,negative
add canon,1,positive
add magic,1,negative
add much,1,negative
add slice,1,positive
add up,2,negative
add up,3,positive
addams,1,positive
addams family,1,positive
added,1,negative
added,3,positive
added clout,1,positive
added depth,1,positive
added disdain,1,negative
addict,2,positive
addict admit,1,positive
addict complete,1,positive
addiction,1,negative
addiction junk,1,negative
addictive,1,negative
addictive guilty,1,negative
adding,1,negative
adding,2,positive
adding bit,1,positive
adding flourishes,1,negative
adding rich,1,positive
addition,4,negative
addition,7,positive
addition cinematic,1,positive
addition distinguished,1,positive
addition funny,1,positive
addition gluing,1,positive
addition growing,1,negative
addition hoffmanis,1,positive
addition overcooked,1,negative
addition romantic,1,positive
addition scoring,1,positive
addition sporting,1,negative
addition wholly,1,negative
address,1,negative
address,1,positive
address flaws,1,negative
address world,1,positive
addresses,1,negative
addresses interesting,1,negative
addressing,1,positive
addressing complex,1,positive
adds,1,negative
adds,6,positive
adds almost,1,positive
adds enough,2,positive
adds minutes,1,negative
adds much,1,positive
adds substantial,1,positive
adds up,1,positive
adept,1,negative
adept direction,1,negative
adequate,3,negative
adequate,1,positive
adequate gives,1,positive
adequate performances,1,negative
adequate reason,1,negative
adequate use,1,negative
adequately,3,positive
adequately fills,1,positive
adequately served,1,positive
adhere,1,negative
adhere more,1,negative
adherents,1,positive
adherents on,1,positive
adhering,1,negative
adhering messiness,1,negative
adjective,1,positive
adjective gentle,1,positive
adjusting,1,positive
admirable,3,negative
admirable,5,positive
admirable energy,1,positive
admirable on,1,positive
admirable quality,1,positive
admirable reconstruction,1,positive
admirable rigor,1,negative
admirable sometimes,1,positive
admirable story,1,negative
admirable storyteller,1,negative
admirably,1,negative
admirably,2,positive
admirably aspires,1,positive
admirably dark,1,positive
admirably filmmakers,1,negative
admire,4,negative
admire,3,positive
admire closing,1,positive
admire difficult,1,negative
admire film,1,positive
admire filmis,1,negative
admire intensity,1,positive
admire yet,1,negative
admirers,2,positive
admirers director,1,positive
admission,1,negative
admission,2,positive
admission gory,1,positive
admission ridicule,1,negative
admit,4,negative
admit,3,positive
admit baffled,1,negative
admit complaint,1,positive
admit much,1,positive
admit not_all,1,positive
admit semi,1,negative
admit walked,1,negative
admit xx,1,negative
admitted,2,negative
admitted egomaniac,1,negative
admitted entirely,1,negative
admittedly,1,negative
admittedly,3,positive
admittedly broad,1,negative
admittedly manipulative,1,positive
admittedly middling,1,positive
admittedly problematic,1,positive
admitting,1,positive
admitting enjoyment,1,positive
ado,1,positive
ado something,1,positive
adobo,1,negative
adobo heart,1,negative
adolescence,2,positive
adolescence feels,1,positive
adolescence not_lets,1,positive
adolescent,3,negative
adolescent,5,positive
adolescent anomie,1,positive
adolescent audience,1,negative
adolescent boy,1,positive
adolescent boys,1,positive
adolescent movie,1,positive
adolescent poster,1,negative
adolescent sturm,1,positive
adolescent violence,1,negative
adolescents,2,positive
adolescents adequately,1,positive
adopt,1,negative
adopt generational,1,negative
adopts,1,negative
adopts guise,1,negative
adorability,1,positive
adorability intact,1,positive
adorable,2,positive
adorable italian,1,positive
adorable lamentations,1,positive
adorably,2,positive
adorably ditsy,1,positive
adorably whimsical,1,positive
adoring,1,positive
adoring wide,1,positive
adorns,1,positive
adorns family,1,positive
adrenalin,2,positive
adrenalin pacinois,1,positive
adrenalin rated,1,positive
adrenaline,3,positive
adrenaline boost,1,positive
adrenaline documentary,1,positive
adrenaline jolt,1,positive
adrenalized,1,positive
adrenalized extreme,1,positive
adrian,1,negative
adrian lyneis,1,negative
adrien,1,positive
adrien brody,1,positive
adrift,2,negative
adrift bentley,1,negative
adrift various,1,negative
adroit,1,negative
adroit finally,1,negative
adult,2,negative
adult,8,positive
adult credibility,1,positive
adult get,1,positive
adult just,1,positive
adult life,1,positive
adult male,1,negative
adult movies,2,positive
adult themes,1,positive
adult whois,1,negative
adult world,1,positive
adultery,1,negative
adultery dull,1,negative
adultis,1,negative
adultis patience,1,negative
adults,9,negative
adults,12,positive
adults alike,1,negative
adults behave,1,negative
adults children,1,positive
adults enamored,1,positive
adults everyone,1,negative
adults face,1,positive
adults grew,1,positive
adults lark,1,positive
adults least,1,negative
adults may,1,positive
adults other,1,negative
adults provided,1,negative
adults see,1,positive
adults younger,1,negative
advance,2,negative
advance must,1,negative
advance screening,1,negative
advanced,1,negative
advanced prozac,1,negative
advancing,1,positive
advancing vision,1,positive
advantage,4,negative
advantage,2,positive
advantage fact,1,negative
advantage invest,1,negative
advantage on,1,negative
advantage postapocalyptic,1,negative
advantage rough,1,positive
adventues,1,negative
adventues steve,1,negative
adventure,6,negative
adventure,24,positive
adventure all,2,positive
adventure buffs,1,negative
adventure chance,1,positive
adventure ends,1,negative
adventure feels,1,negative
adventure grownups,1,positive
adventure heavyweight,1,positive
adventure jacksonis,1,positive
adventure kids,1,positive
adventure long,1,positive
adventure looking,1,positive
adventure movie,1,positive
adventure not_contain,1,negative
adventure on,1,positive
adventure out,1,positive
adventure plays,1,negative
adventure shamelessly,1,positive
adventure song,1,negative
adventure space,1,positive
adventure sporadic,1,positive
adventure stalker,1,positive
adventure story,1,positive
adventure suitable,1,positive
adventure tale,1,positive
adventure thrill,1,positive
adventure wind,1,positive
adventure wonderful,1,positive
adventure worthwhile,1,positive
adventures,5,negative
adventures,1,positive
adventures attempted,1,positive
adventures buckaroo,1,negative
adventures direct,1,negative
adventures ford,1,negative
adventures happen,1,negative
adventures pluto,2,negative
adventurous,5,positive
adventurous directorial,1,positive
adventurous film,1,positive
adventurous indian,1,positive
adventurous young,1,positive
adversity,1,positive
advert,1,negative
advert youthful,1,negative
advertised,2,negative
advertised,1,positive
advertised comedy,2,negative
advertisement,1,negative
advertisement american,1,negative
advertising,1,negative
advertising hounds,1,negative
advice,4,negative
advice makers,1,negative
advice scooby,1,negative
advice skip,1,negative
advised,2,negative
advised,1,positive
advised poorly,1,negative
advised sit,1,positive
advised take,1,negative
advises,1,positive
advises denlopp,1,positive
advocacy,1,positive
advocacy cinema,1,positive
aerial,1,positive
aerial shots,1,positive
aesthetic,2,negative
aesthetic,1,positive
aesthetic experience,1,positive
aesthetic seems,1,negative
aesthetically,1,positive
aesthetically sexually,1,positive
aesthetics,1,positive
affability,1,negative
affability made,1,negative
affable,1,negative
affable,2,positive
affable maid,1,positive
affable not_timeless,1,positive
affable undernourished,1,negative
affair,8,negative
affair,4,positive
affair consistently,1,negative
affair ever,1,positive
affair film,1,positive
affair musset,1,positive
affair populating,1,negative
affair subject,1,negative
affair tadpole,1,negative
affair true,1,negative
affair unintentional,1,negative
affectation,1,negative
affectation,1,positive
affectation free,1,positive
affected,3,negative
affected boring,1,negative
affected child,1,negative
affected malaise,1,negative
affecting,2,negative
affecting,8,positive
affecting amusing,1,positive
affecting clearly,1,positive
affecting cop,1,positive
affecting depictions,1,positive
affecting film,1,positive
affecting more,1,negative
affecting portrait,1,positive
affecting story,1,positive
affecting study,1,positive
affecting times,1,negative
affectingly,1,positive
affectingly life,1,positive
affection,2,negative
affection,9,positive
affection believe,1,positive
affection breathe,1,positive
affection characters,1,negative
affection industrial,1,positive
affection moral,1,positive
affection original,1,negative
affection period,1,positive
affection rather,1,positive
affection strange,1,positive
affectionate,2,positive
affectionate delight,1,positive
affectionate take,1,positive
affectionately,2,positive
affectionately goofy,1,positive
affectionately reminds,1,positive
affects,1,positive
affects cultural,1,positive
affirm,1,positive
affirm loveis,1,positive
affirming,2,negative
affirming,3,positive
affirming finale,1,positive
affirming heartbreaking,1,positive
affirming message,1,negative
affirming moments,1,negative
affirming usually,1,positive
affirms,2,positive
affirms gifts,1,positive
affirms nourishing,1,positive
affleck,2,negative
affleck,1,positive
affleck attempt,1,negative
affleck seem,1,negative
affluence,1,positive
affluence not_lost,1,positive
affluent,1,negative
affluent damsel,1,negative
afford,1,positive
afford may,1,positive
affords,1,positive
affords watch,1,positive
afghan,1,negative
afghan tragedies,1,negative
afghani,1,positive
afghani refugees,1,positive
aficionados,1,negative
aficionados,3,positive
aficionados find,1,negative
aficionados not_help,1,positive
aficionados ordinary,1,positive
aficionados whodunit,1,positive
afloat,2,positive
afloat decent,1,positive
afloat hollywood,1,positive
afraid,3,negative
afraid,1,positive
afraid bad,1,negative
afraid best,1,positive
afraid biting,1,negative
afraid show,1,negative
africa,1,positive
africa pretty,1,positive
african,2,negative
african,3,positive
african american,1,negative
african american,1,positive
african americans,1,negative
african empire,1,positive
african idiom,1,positive
afterlife,1,positive
afterlife communications,1,positive
aftermath,1,positive
aftermath terrorist,1,positive
afternoon,1,negative
afternoon,2,positive
afternoon cause,1,negative
afternoon concludes,1,positive
afternoon sun,1,positive
afterschool,2,negative
afterschool special,2,negative
aftertaste,1,negative
aftertaste little,1,negative
afterthought,2,negative
afterthought amidst,1,negative
afterwards,1,negative
agape,1,negative
agape holes,1,negative
age,8,negative
age,30,positive
age comedy,1,positive
age coming,1,negative
age consistently,1,positive
age course,1,positive
age crowd,1,positive
age deathly,1,negative
age drama,2,positive
age film,1,positive
age gender,1,negative
age genre,2,positive
age grief,1,positive
age import,1,negative
age improves,1,positive
age movie,2,negative
age movie,2,positive
age not_drop,1,positive
age older,1,negative
age portrait,1,positive
age stories,1,positive
age story,4,positive
age tale,1,negative
age tale,4,positive
age theme,1,positive
age unlikely,1,positive
age years,1,positive
aged,3,negative
aged,4,positive
aged napoleon,1,positive
aged participants,1,positive
aged past,1,negative
aged romance,2,negative
aged woman,1,positive
aged womanis,1,positive
agency,2,negative
agency boss,1,negative
agency video,1,negative
agenda,2,positive
agenda deliver,1,positive
agenda forcefully,1,positive
agendas,1,positive
agendas also,1,positive
agent,3,negative
agent,1,positive
agent decoder,1,negative
agent jack,1,negative
agent one,1,positive
agent serve,1,negative
agers,1,positive
agers stumble,1,positive
ages,3,negative
ages,11,positive
ages audience,1,positive
ages cinderella,1,negative
ages kid,1,positive
ages like,1,positive
ages movie,1,positive
ages not_fake,1,positive
ages old,1,negative
ages spirit,1,positive
ages trend,1,positive
ages unlikely,1,negative
agey,1,negative
agey tone,1,negative
aggrandizing,1,positive
aggrandizing politically,1,positive
aggravating,1,negative
aggravating,1,positive
aggravating soulful,1,positive
aggravating tedious,1,negative
aggressive,1,negative
aggressive,2,positive
aggressive most,1,positive
aggressive psychology,1,positive
aggressive self,1,negative
aggressively,2,negative
aggressively,1,positive
aggressively anti,1,negative
aggressively cheery,1,negative
aggressively silly,1,positive
aggressiveness,1,positive
aggressiveness project,1,positive
aggrieved,1,negative
aggrieved father,1,negative
agile,1,negative
agile performers,1,negative
aging,1,negative
aging,4,positive
aging filmmaker,1,negative
aging sandeman,1,positive
aging series,1,positive
aging sisters,1,positive
aging suffering,1,positive
agitator,1,negative
agitator would,1,negative
agitprop,1,negative
agitprop thinness,1,negative
agnostic,1,positive
agnostic carnivore,1,positive
ago,13,negative
ago,5,positive
ago actually,1,negative
ago cutesy,1,negative
ago delightfully,1,positive
