sentiment,comment,preprocessed
positive,"An enthralling aesthetic experience , one that's steeped in mystery and a ravishing , baroque beauty .",enthralling aesthetic experience one thatis steeped mystery ravishing baroque beauty
positive,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,quirky drama touches heart funnybone thanks energetic always surprising performance rachel griffiths
positive,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,captivating coming age story may also first narrative film truly informed wireless age
positive,What could have been a daytime soap opera is actually a compelling look at a young woman's tragic odyssey .,could daytime soap opera actually compelling look young womanis tragic odyssey
positive,Duvall is strong as always .,duvall strong always
positive,A no-holds-barred cinematic treat .,NOT_holds barred cinematic treat
positive,You'd have to be a most hard-hearted person not to be moved by this drama .,would most hard hearted person NOT_moved drama
positive,Allen's underestimated charm delivers more goodies than lumps of coal .,allenis underestimated charm delivers more goodies lumps coal
positive,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .",measured practically like themed film other oscar sweeping franchise predecessor silence lambs red dragon rates exceptional thriller
positive,"Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",maelstrom strange compelling engrossing different moral tale twisted sense humor
positive,It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,makes believe cast crew thoroughly enjoyed believed small budget film
positive,"The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",picture uses humor heartfelt conviction tell story discovering destination life also acknowledging places people whence came
positive,A terrific insider look at the star-making machinery of tinseltown .,terrific insider look star making machinery tinseltown
positive,It's a diverting enough hour-and-a-half for the family audience .,diverting enough hour half family audience
positive,As giddy and whimsical and relevant today as it was years ago .,giddy whimsical relevant today years ago
positive,The film offers an intriguing what-if premise .,film offers intriguing premise
positive,The Pianist is the film Roman Polanski may have been born to make .,pianist film roman polanski may born make
positive,This version does justice both to Stevenson and to the sci-fi genre .,version justice stevenson sci fi genre
positive,Poignant and delicately complex .,poignant delicately complex
positive,"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .",enough may pander basest desires payback unlike many revenge fantasies ultimately delivers
positive,Cho's latest comic set isn't as sharp or as fresh as I'm the One That I Want ... but it's still damn funny stuff .,chois latest comic set NOT_sharp fresh one want still damn funny stuff
positive,"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",pianist polanski saying long wanted say confronting roots preoccupations obsessions allows NOT_get way
positive,"Despite the film's shortcomings , the stories are quietly moving .",despite filmis shortcomings stories quietly moving
positive,"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .",come family eats meddles argues laughs kibbitzes fights together go see delightful comedy
positive,This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .,bracingly truthful antidote hollywood teenage movies slather clearasil blemishes youth captures combustible mixture chafing inner loneliness desperate grandiosity tend characterize puberty
positive,It's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,filmmakers post camp comprehension made old time movies good bad makes eight legged freaks perfectly entertaining summer diversion
positive,"The film's strength isn't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",filmis strength NOT_details larger picture paints culture conflict thin veneer nationalism covers deepest media soaked fears
positive,"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .",faults kind unapologetic sweetheart movie mandy moore leaves positive impression
positive,"The Saigon of is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",saigon uneasy mix sensual delights simmering violence quiet american brings us right center world
positive,"Despite its shortcomings , Girls Can't Swim represents an engaging and intimate first feature by a talented director to watch , and it's a worthy entry in the French coming-of-age genre .",despite shortcomings girls NOT_swim represents engaging intimate first feature talented director watch worthy entry french coming age genre
positive,"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",dirty deeds david caesar stepped mainstream filmmaking assurance worthy international acclaim every cinematic tool well control driven natural sense works on screen
positive,The humor and humanity of Monsoon Wedding are in perfect balance .,humor humanity monsoon wedding perfect balance
positive,A compelling motion picture that illustrates an American tragedy .,compelling motion picture illustrates american tragedy
positive,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",comedic spotlights go notorious hits all verbal marks
positive,It's a day at the beach -- with air conditioning and popcorn .,day beach air conditioning popcorn
positive,"What sets it apart is the vision that Taymor , the avant garde director of Broadway's The Lion King and the film Titus , brings .",sets apart vision taymor avant garde director broadwayis lion king film titus brings
positive,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",stevens flair dialogue comedy film operates nicely off element surprise large cast solid
positive,"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",extremely well acted four primary actors seriously intended movie easily NOT_forgotten
positive,The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .,film exudes urbane sweetness woody allen seems bitterly forsaken
positive,"K- : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .",widowmaker derivative overlong bombastic yet surprisingly entertaining
positive,"It's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",good hard edged stuff violent bit exploitative also nicely done morally alert street smart
positive,"Cineasts will revel in those visual in-jokes , as in the film's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein's bluff personal style to the stylistic rigors of Denmark's Dogma movement .",cineasts revel visual jokes filmis verbal pokes everything likes miramax chief harvey weinsteinis bluff personal style stylistic rigors denmarkis dogma movement
positive,It's a rare window on an artistic collaboration .,rare window on artistic collaboration
positive,Perhaps the best sports movie I've ever seen .,perhaps best sports movie ever seen
positive,Cho's timing is priceless .,chois timing priceless
positive,"A sensitive , moving , brilliantly constructed work .",sensitive moving brilliantly constructed work
positive,An edgy thriller that delivers a surprising punch .,edgy thriller delivers surprising punch
positive,A reasonably entertaining sequel to's surprise family hit that may strain adult credibility .,reasonably entertaining sequel tois surprise family hit may strain adult credibility
positive,Reno delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,reno delivers monologue manages incorporate horror absurdity situation well balanced fashion
positive,there is truth here,truth
positive,"a confident , richly acted , emotionally devastating piece of work and's first great film",confident richly acted emotionally devastating piece work andis first great film
positive,"A touching , small-scale story of family responsibility and care in the community .",touching small scale story family responsibility care community
positive,Arteta directs one of the best ensemble casts of the year,arteta directs one best ensemble casts year
positive,The casting of von Sydow ... is itself Intacto's luckiest stroke .,casting von sydow intactois luckiest stroke
positive,"No , it's not as single-minded as John Carpenter's original , but it's sure a lot smarter and more unnerving than the sequels .",NOT_single minded john carpenteris original sure lot smarter more unnerving sequels
positive,"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",gem romantic crime comedy turns out clever amusing unpredictable
positive,"Stands as one of the year's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",stands one yearis most intriguing movie experiences letting imagery speak forces ponder anew movie
positive,"... the first \/ of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices cool visual backmasking , a solid cast , and some wickedly sick and twisted humor ...",first film incredibly captivating insanely funny thanks part interesting cinematic devices cool visual backmasking solid cast some wickedly sick twisted humor
positive,This movie got me grinning .,movie got grinning
positive,There's a part of us that can not help be entertained by the sight of someone getting away with something .,thereis part us NOT_help entertained sight someone getting away something
positive,An old-fashioned drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,old fashioned drama substance teacheris slide down slippery slope dishonesty encounter rich powerful NOT_disdain virtue
positive,"What's not to like about a movie with a ` children's ' song that includes the line ` My stepdad's not mean , he's just adjusting ' ?",whatis NOT_like movie childrenis song includes line stepdadis NOT_mean just adjusting
positive,The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,pleasures afford may enough keep many moviegoers occupied amidst some more serious minded concerns other year end movies
positive,"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",NOT_everyone welcome accept trials henry kissinger faithful portraiture few argue debate joins necessary timely one
positive,"There are no special effects , and no Hollywood endings .",NOT_special effects NOT_hollywood endings
positive,"Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen's astringent wit .",like original version raised few notches kiddie fantasy pablum allenis astringent wit
positive,"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .",filled honest performances exceptional detail baran gentle film dramatic punch haunting ode humanity
positive,"In its dry and forceful way , it delivers the same message as Jiri Menzel's Closely Watched Trains and Danis Tanovic's No Man's Land .",dry forceful way delivers same message jiri menzelis closely watched trains danis tanovicis NOT_manis land
positive,... a triumph of emotionally and narratively complex filmmaking .,triumph emotionally narratively complex filmmaking
positive,"Simply put , `` Far From Heaven '' is a masterpiece .",simply put far heaven masterpiece
positive,An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,intense effective film loneliness chilly anonymity environments many us spend much time
positive,A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,funny romantic comedy two skittish new york middle agers stumble relationship struggle furiously fears foibles
positive,Top-notch action powers this romantic drama .,top notch action powers romantic drama
positive,Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,beresford nicely mixes much humor pathos take us on sentimental journey heart
positive,"It really is a shame that more won't get an opportunity to embrace small , sweet ` Evelyn . '",really shame more NOT_get opportunity embrace small sweet evelyn
positive,"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",stopped thinking good all started NOT_reacting feeling part grand locations thinking urgently protagonists struggled feeling mercy inventiveness gasping visual delights
positive,Probably the best case for Christianity since Chesterton and Lewis .,probably best case christianity since chesterton lewis
positive,"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .",gently funny sweetly adventurous film makes feel genuinely good say entirely unconned false sentiment sharp overmanipulative hollywood practices
positive,"Would be an unendurable viewing experience for this ultra-provincial New Yorker if -year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",would unendurable viewing experience ultra provincial new yorker year old reese witherspoon on NOT_hand inject pure fantasy character melanie carmichael massive infusion old fashioned hollywood magic
positive,"Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .",visually fascinating often intense character study fathers sons loyalty duty
positive,A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,lyrical metaphor cultural personal self discovery picaresque view little remembered world
positive,Schütte's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .,schütteis dramatic snapshot artist three days death offers interesting bit speculation issues brecht faced life drew close
positive,"A slick , engrossing melodrama .",slick engrossing melodrama
positive,"SMNE's satire is not subtle , but it is effective .",smneis satire NOT_subtle effective
positive,"It's a quirky , off-beat project .",quirky off beat project
